episode,avg_profit_per_hand,epsilon,num_states,num_state_actions,elapsed_sec
1000000,-0.059961,0.05518188858316461,360,1160,8.7
2000000,-0.0272195,0.020300272184030594,360,1160,17.8
3000000,-0.017019,0.01,360,1160,26.0
4000000,-0.0168505,0.01,360,1160,33.6
5000000,-0.017549,0.01,360,1160,41.3
6000000,-0.0159325,0.01,360,1160,49.1
7000000,-0.014535,0.01,360,1160,57.1
8000000,-0.0145645,0.01,360,1160,65.0
9000000,-0.01394,0.01,360,1160,73.6
10000000,-0.015055,0.01,360,1160,81.4
11000000,-0.01528,0.01,360,1160,89.2
12000000,-0.0148895,0.01,360,1160,96.9
13000000,-0.015489,0.01,360,1160,104.7
14000000,-0.0155725,0.01,360,1160,112.4
15000000,-0.0157035,0.01,360,1160,120.2
