episode,avg_profit_per_hand,epsilon,num_states,num_state_actions,elapsed_sec
1000000,-0.0613865,0.05518188858316461,360,1160,8.3
2000000,-0.0274325,0.020300272184030594,360,1160,16.7
3000000,-0.0167045,0.01,360,1160,25.1
4000000,-0.0182135,0.01,360,1160,33.3
5000000,-0.015605,0.01,360,1160,41.3
6000000,-0.0161245,0.01,360,1160,49.3
7000000,-0.014097,0.01,360,1160,57.5
8000000,-0.0139605,0.01,360,1160,65.7
9000000,-0.01178,0.01,360,1160,73.9
10000000,-0.013826,0.01,360,1160,82.0
11000000,-0.0136875,0.01,360,1160,90.0
12000000,-0.012753,0.01,360,1160,97.9
13000000,-0.012864,0.01,360,1160,106.0
14000000,-0.0147125,0.01,360,1160,114.0
15000000,-0.0140335,0.01,360,1160,122.0
