episode,avg_profit_per_hand,epsilon,num_states,num_state_actions,elapsed_sec
1000000,-0.082798,0.05518188858316461,360,1160,7.5
2000000,-0.055622,0.020300272184030594,360,1160,15.3
3000000,-0.0435755,0.01,360,1160,23.1
4000000,-0.044867,0.01,360,1160,30.9
5000000,-0.0447465,0.01,360,1160,38.5
6000000,-0.0440205,0.01,360,1160,46.2
7000000,-0.043589,0.01,360,1160,54.5
8000000,-0.042154,0.01,360,1160,62.8
9000000,-0.041719,0.01,360,1160,70.6
10000000,-0.0453415,0.01,360,1160,78.4
11000000,-0.043077,0.01,360,1160,86.3
12000000,-0.044061,0.01,360,1160,94.2
13000000,-0.043939,0.01,360,1160,102.0
14000000,-0.0445645,0.01,360,1160,109.8
15000000,-0.044025,0.01,360,1160,117.5
