episode,avg_profit_per_hand,epsilon,num_states,num_state_actions,elapsed_sec
2000000,-0.0714995,0.020300272184030594,4680,15057,17.8
4000000,-0.034404,0.01,4680,15061,44.1
6000000,-0.0314245,0.01,4680,15063,69.0
8000000,-0.030221,0.01,4680,15064,94.2
10000000,-0.0294605,0.01,4680,15065,119.9
12000000,-0.02858825,0.01,4680,15066,147.6
14000000,-0.02920925,0.01,4680,15071,174.4
16000000,-0.027341,0.01,4680,15071,201.0
18000000,-0.025739,0.01,4680,15071,227.7
20000000,-0.02474475,0.01,4680,15071,254.3
22000000,-0.024055,0.01,4680,15073,281.0
24000000,-0.02522825,0.01,4680,15073,307.7
