episode,avg_profit_per_hand,epsilon,num_states,num_state_actions,elapsed_sec
2000000,-0.08510840000000001,0.020300272184030594,4680,15057,19.0
4000000,-0.0478795,0.01,4680,15061,45.8
6000000,-0.04494070000000001,0.01,4680,15063,73.0
8000000,-0.043773200000000005,0.01,4680,15064,100.2
10000000,-0.0418554,0.01,4680,15065,127.4
12000000,-0.0397345,0.01,4680,15066,154.5
14000000,-0.0412268,0.01,4680,15071,181.4
16000000,-0.039791099999999996,0.01,4680,15071,208.5
18000000,-0.0390041,0.01,4680,15071,235.6
20000000,-0.036842400000000004,0.01,4680,15071,263.3
22000000,-0.0370505,0.01,4680,15073,291.9
24000000,-0.037861900000000004,0.01,4680,15073,320.8
