episode,avg_profit_per_hand,epsilon,num_states,num_state_actions,elapsed_sec
2000000,-0.07765925,0.020300272184030594,4680,15061,19.2
4000000,-0.045885,0.01,4680,15064,46.7
6000000,-0.04408025,0.01,4680,15066,76.1
8000000,-0.043656,0.01,4680,15067,105.1
10000000,-0.04329025,0.01,4680,15069,134.4
12000000,-0.04272075,0.01,4680,15070,163.4
14000000,-0.044569,0.01,4680,15072,192.5
16000000,-0.04241175,0.01,4680,15074,221.4
18000000,-0.0432275,0.01,4680,15075,250.3
20000000,-0.0420945,0.01,4680,15075,279.3
22000000,-0.04420325,0.01,4680,15076,308.3
24000000,-0.0431895,0.01,4680,15076,337.5
