episode,avg_profit_per_hand,epsilon,num_states,num_state_actions,elapsed_sec
2000000,-0.0714995,0.020300272184030594,4680,15057,19.1
4000000,-0.07576654115115654,0.01,4680,15061,44.7
6000000,0.0,0.01,4680,15063,69.7
8000000,0.0,0.01,4680,15064,95.8
10000000,-0.16256851996867658,0.01,4680,15065,121.9
12000000,-0.23078189300411522,0.01,4680,15066,148.0
14000000,-0.1458494102083563,0.01,4680,15071,174.3
16000000,-0.0984531098936513,0.01,4680,15071,201.0
18000000,-0.02969561989606533,0.01,4680,15071,227.5
20000000,-0.15075716984856602,0.01,4680,15071,253.5
22000000,-0.05746222546761782,0.01,4680,15073,279.4
24000000,-0.09172919652643116,0.01,4680,15073,306.4
