episode,avg_profit_per_hand,epsilon,num_states,num_state_actions,elapsed_sec
2000000,-0.08364325,0.020300272184030594,4680,15057,37.1
4000000,-0.0360665,0.01,4680,15061,75.2
6000000,-0.03300025,0.01,4680,15063,113.7
8000000,-0.0327735,0.01,4680,15064,152.3
10000000,-0.0287855,0.01,4680,15065,191.2
12000000,-0.0280375,0.01,4680,15066,229.7
14000000,-0.0289925,0.01,4680,15071,267.8
16000000,-0.02800125,0.01,4680,15071,306.2
18000000,-0.02650475,0.01,4680,15071,344.6
20000000,-0.02389,0.01,4680,15071,383.0
22000000,-0.0244865,0.01,4680,15073,421.4
24000000,-0.02548075,0.01,4680,15073,459.7
