episode,avg_profit_per_hand,epsilon,num_states,num_state_actions,elapsed_sec
2000000,-0.0984417,0.020300272184030594,4680,15057,36.9
4000000,-0.050472800000000005,0.01,4680,15061,74.3
6000000,-0.0473292,0.01,4680,15063,111.9
8000000,-0.0471352,0.01,4680,15064,149.5
10000000,-0.043194800000000005,0.01,4680,15065,187.4
12000000,-0.0424255,0.01,4680,15066,225.4
14000000,-0.0433334,0.01,4680,15071,263.1
16000000,-0.042321300000000006,0.01,4680,15071,300.8
18000000,-0.040928,0.01,4680,15071,338.6
20000000,-0.038367700000000005,0.01,4680,15071,376.5
22000000,-0.038902400000000004,0.01,4680,15073,414.5
24000000,-0.0398733,0.01,4680,15073,452.4
