episode,avg_profit_per_hand,epsilon,num_states,num_state_actions,elapsed_sec
2000000,-0.09004575,0.020300272184030594,4680,15061,38.6
4000000,-0.0483345,0.01,4680,15064,78.4
6000000,-0.047238,0.01,4680,15066,118.0
8000000,-0.04637675,0.01,4680,15067,157.6
10000000,-0.045586,0.01,4680,15069,197.1
12000000,-0.04549825,0.01,4680,15070,236.5
14000000,-0.04677475,0.01,4680,15072,275.9
16000000,-0.04465975,0.01,4680,15074,315.5
18000000,-0.04518675,0.01,4680,15075,355.0
20000000,-0.04452325,0.01,4680,15075,394.7
22000000,-0.0468755,0.01,4680,15076,434.2
24000000,-0.04575075,0.01,4680,15076,473.7
