episode,avg_profit_per_hand,epsilon,num_states,num_state_actions,elapsed_sec
2000000,-0.6138558790811012,0.020300272184030594,4680,15057,41.5
4000000,-0.1644120394082733,0.01,4680,15061,81.5
6000000,-0.13761729172287676,0.01,4680,15063,119.5
8000000,-0.2275806451612903,0.01,4680,15064,157.6
10000000,-0.039513632127934586,0.01,4680,15065,195.9
12000000,-0.17200634179903676,0.01,4680,15066,234.3
14000000,-0.11762298808766027,0.01,4680,15071,273.0
16000000,-0.1601241828114272,0.01,4680,15071,311.1
18000000,-0.09624114763028872,0.01,4680,15071,348.9
20000000,-0.06718015193536718,0.01,4680,15071,386.6
22000000,-0.08866914981671987,0.01,4680,15073,424.4
24000000,-0.10119612409787515,0.01,4680,15073,462.3
