episode,avg_profit_per_hand,epsilon,num_states,num_state_actions,elapsed_sec
2000000,-0.6371818471450317,0.020300272184030594,4680,15061,41.5
4000000,-0.22466827503015682,0.01,4680,15064,81.6
6000000,-0.27867386184073223,0.01,4680,15066,121.5
8000000,-0.24399412892403546,0.01,4680,15067,161.5
10000000,-0.20466227793308683,0.01,4680,15069,201.6
12000000,-0.2456250560890245,0.01,4680,15070,241.7
14000000,-0.19277984904974083,0.01,4680,15072,281.9
16000000,-0.19942386339890744,0.01,4680,15074,322.1
18000000,-0.17609301198982683,0.01,4680,15075,362.3
20000000,-0.212054513658566,0.01,4680,15075,402.5
22000000,-0.2458490115272054,0.01,4680,15076,442.9
24000000,-0.22781170862505587,0.01,4680,15076,483.3
