hand_kind,hand_value,dealer_upcard,true_count_bucket,best_action,best_action_value,visits
hard,5,2,,HIT,-0.13140707085048983,14312
hard,5,3,,HIT,-0.10343140680690506,14504
hard,5,4,,HIT,-0.07181682293789901,14957
hard,5,5,,HIT,-0.02527525131641939,14352
hard,5,6,,HIT,0.0209053993081668,13793
hard,5,7,,HIT,-0.11963882618510181,16353
hard,5,8,,HIT,-0.18632443810687913,14908
hard,5,9,,HIT,-0.26410509529956777,13535
hard,5,10,,HIT,-0.320360710511065,59643
hard,5,11,,HIT,-0.3286685325869657,10241
hard,6,2,,HIT,-0.13293696165866226,13620
hard,6,3,,HIT,-0.10157153547860395,14887
hard,6,4,,HIT,-0.083096058744193,13762
hard,6,5,,HIT,-0.03380795398751486,14659
hard,6,6,,HIT,0.00035471055618618077,14421
hard,6,7,,HIT,-0.16062793468357933,14842
hard,6,8,,HIT,-0.23921373829122936,14262
hard,6,9,,HIT,-0.30092462874754733,14483
hard,6,10,,HIT,-0.34605710089048053,55157
hard,6,11,,HIT,-0.35373317013463995,9919
hard,7,2,,HIT,-0.1112969283276439,29925
hard,7,3,,HIT,-0.08599560071226527,29373
hard,7,4,,HIT,-0.03558160935210144,29783
hard,7,5,,HIT,-0.0026003633384390694,28518
hard,7,6,,HIT,0.027402547279042785,28991
hard,7,7,,HIT,-0.08124353671147846,31290
hard,7,8,,HIT,-0.2317761378435228,30299
hard,7,9,,HIT,-0.29360716384883756,29308
hard,7,10,,HIT,-0.32751549077594366,114962
hard,7,11,,HIT,-0.3626275636579807,20718
hard,8,2,,HIT,-0.030339844624188848,31857
hard,8,3,,HIT,0.006298356672421489,31652
hard,8,4,,HIT,0.030622039198687445,32682
hard,8,5,,HIT,0.06715830875122882,30901
hard,8,6,,HIT,0.09480034472852639,30509
hard,8,7,,HIT,0.080529576096198,33557
hard,8,8,,HIT,-0.0804230756828224,31490
hard,8,9,,HIT,-0.21078544757624862,30644
hard,8,10,,HIT,-0.25960834026160207,122847
hard,8,11,,HIT,-0.285534647684914,22517
hard,9,2,,HIT,0.07029459732859875,49090
hard,9,3,,HIT,0.10275876374196219,49165
hard,9,4,,HIT,0.12509255450431808,49298
hard,9,5,,DOUBLE,0.2699086161879895,47934
hard,9,6,,HIT,0.1901852453688664,46797
hard,9,7,,HIT,0.1763852862482395,49533
hard,9,8,,HIT,0.09884764727986205,48413
hard,9,9,,HIT,-0.058149648895772156,47786
hard,9,10,,HIT,-0.15867182778839325,185940
hard,9,11,,HIT,-0.13302361139698338,34414
hard,10,2,,DOUBLE,0.3716616381718623,53286
hard,10,3,,DOUBLE,0.4340472755521017,53223
hard,10,4,,DOUBLE,0.47242249459264674,52993
hard,10,5,,DOUBLE,0.519060402684567,52593
hard,10,6,,DOUBLE,0.5811941768056778,49646
hard,10,7,,DOUBLE,0.4027561776395368,54486
hard,10,8,,DOUBLE,0.2954180617346267,51906
hard,10,9,,DOUBLE,0.15594496060214028,52029
hard,10,10,,HIT,0.021045972438711088,201323
