hand_kind,hand_value,dealer_upcard,true_count_bucket,best_action,best_action_value,visits
hard,5,2,,HIT,-0.1455560326320295,14265
hard,5,3,,HIT,-0.11019087673891974,15632
hard,5,4,,HIT,-0.07065364795226493,15071
hard,5,5,,HIT,-0.028111372022811304,15078
hard,5,6,,HIT,0.0047792730474154116,16079
hard,5,7,,HIT,-0.12104479463953287,16321
hard,5,8,,HIT,-0.1878076486179486,16056
hard,5,9,,HIT,-0.2680369127516777,14576
hard,5,10,,HIT,-0.3157288064549958,59706
hard,5,11,,HIT,-0.31202202508412397,9937
hard,6,2,,HIT,-0.13921671803352592,13509
hard,6,3,,HIT,-0.11205548378323167,15240
hard,6,4,,HIT,-0.07507276151343957,13737
hard,6,5,,STAND,-0.17647883375385473,14430
hard,6,6,,STAND,-0.15502764693835736,14891
hard,6,7,,HIT,-0.15623719087306984,14823
hard,6,8,,HIT,-0.23074496940642195,16072
hard,6,9,,HIT,-0.29736434108527265,16326
hard,6,10,,HIT,-0.3469202898550719,56044
hard,6,11,,HIT,-0.31361732556951916,9916
hard,7,2,,HIT,-0.10658275560341962,30158
hard,7,3,,HIT,-0.08714909138279169,31155
hard,7,4,,HIT,-0.03889002105835219,29766
hard,7,5,,HIT,-0.005144868670457641,29948
hard,7,6,,HIT,0.025225103699456734,30737
hard,7,7,,HIT,-0.075301500147073,31231
hard,7,8,,HIT,-0.22494080505130135,32113
hard,7,9,,HIT,-0.29460093896713885,31043
hard,7,10,,HIT,-0.325843977102386,115819
hard,7,11,,HIT,-0.31956017947833,20511
hard,8,2,,HIT,-0.030033078963744086,31927
hard,8,3,,HIT,0.01096309906599292,33077
hard,8,4,,HIT,0.03126614097310645,32576
hard,8,5,,HIT,0.06752172991308111,29793
hard,8,6,,HIT,0.1070595854922277,31384
hard,8,7,,HIT,0.07934575646908218,32449
hard,8,8,,HIT,-0.07546827794561893,33490
hard,8,9,,HIT,-0.20810827590488576,32634
hard,8,10,,HIT,-0.2591271834825369,122849
hard,8,11,,HIT,-0.22025305096913098,22554
hard,9,2,,HIT,0.06771880841397941,47859
hard,9,3,,DOUBLE,0.1381921860382233,50557
hard,9,4,,HIT,0.13031634075263143,48974
hard,9,5,,DOUBLE,0.26611216615784106,46030
hard,9,6,,DOUBLE,0.3312587982514618,49083
hard,9,7,,HIT,0.17759568596886469,48614
hard,9,8,,HIT,0.09718430699633533,51919
hard,9,9,,HIT,-0.05775646788532622,50938
hard,9,10,,HIT,-0.15769978204619242,188410
hard,9,11,,HIT,-0.07220430266623341,34218
hard,10,2,,DOUBLE,0.3786670365489969,52043
hard,10,3,,DOUBLE,0.41427900422733505,53051
hard,10,4,,DOUBLE,0.46303876177056036,52137
hard,10,5,,DOUBLE,0.5169579332734685,49927
