hand_kind,hand_value,dealer_upcard,true_count_bucket,best_action,best_action_value,visits
hard,5,2,,HIT,-0.12003357171910786,0
hard,5,3,,HIT,-0.14563749894849065,0
hard,5,4,,HIT,0.010772366892732704,0
hard,5,5,,HIT,-0.01447587461465728,0
hard,5,6,,HIT,0.028414608211948356,0
hard,5,7,,HIT,-0.18958751533134838,0
hard,5,8,,HIT,-0.1436796151208421,0
hard,5,9,,HIT,-0.2508944070815097,0
hard,5,10,,HIT,-0.34059584055542896,0
hard,5,11,,HIT,-0.3141826692723459,0
hard,6,2,,HIT,-0.23873751830750975,0
hard,6,3,,HIT,-0.1284914992687617,0
hard,6,4,,HIT,-0.09945482197633614,0
hard,6,5,,HIT,-0.12312609755899678,0
hard,6,6,,HIT,0.026665677437256417,0
hard,6,7,,HIT,-0.20325646815139284,0
hard,6,8,,HIT,-0.2374015021058664,0
hard,6,9,,HIT,-0.25188182072055315,0
hard,6,10,,HIT,-0.3523677538655587,0
hard,6,11,,HIT,-0.3640694334470063,0
hard,7,2,,HIT,-0.19576152310060457,0
hard,7,3,,HIT,-0.1440436001095217,0
hard,7,4,,HIT,-0.08933368413121841,0
hard,7,5,,HIT,-0.0716554383751375,0
hard,7,6,,HIT,0.08480399452417477,0
hard,7,7,,HIT,-0.11559738836770989,0
hard,7,8,,HIT,-0.11126778303389703,0
hard,7,9,,HIT,-0.2855171666313738,0
hard,7,10,,HIT,-0.37161813984719017,0
hard,7,11,,HIT,-0.4365481642358815,0
hard,8,2,,HIT,-0.08203849004501425,0
hard,8,3,,HIT,-0.10801415731493982,0
hard,8,4,,HIT,0.019904000329812238,0
hard,8,5,,HIT,0.05649852573916433,0
hard,8,6,,HIT,0.16198664399528157,0
hard,8,7,,HIT,0.0118892676299946,0
hard,8,8,,HIT,0.02099715932370102,0
hard,8,9,,HIT,-0.0997456718829782,0
hard,8,10,,HIT,-0.3340223927560121,0
hard,8,11,,HIT,-0.3287340635791872,0
hard,9,2,,HIT,0.01797857441260218,0
hard,9,3,,HIT,-0.04175357044242572,0
hard,9,4,,HIT,0.1736257108389415,0
hard,9,5,,HIT,0.0781930057725548,0
hard,9,6,,HIT,0.24071014542686378,0
hard,9,7,,HIT,0.1521051615932587,0
hard,9,8,,HIT,0.08948427312270046,0
