hand_kind,hand_value,dealer_upcard,true_count_bucket,best_action,best_action_value,visits
hard,5,2,-6,HIT,-0.2130750605326876,425
hard,5,2,-5,DOUBLE,-8.326672684688674e-17,330
hard,5,2,-4,STAND,-0.3204903677758318,576
hard,5,2,-3,HIT,-0.11420612813370482,991
hard,5,2,-2,STAND,-0.318048206937096,1717
hard,5,2,-1,STAND,-0.29102695325827366,2958
hard,5,2,0,HIT,-0.12014061207609578,4909
hard,5,2,1,HIT,-0.1405030355594103,5538
hard,5,2,2,STAND,-0.26209833526906706,2637
hard,5,2,3,HIT,-0.11581733951025808,1538
hard,5,2,4,STAND,-0.23253150057273764,882
hard,5,2,5,STAND,-0.20081967213114754,493
hard,5,2,6,STAND,-0.19939577039274942,683
hard,5,3,-6,HIT,-0.19683257918552044,445
hard,5,3,-5,STAND,-0.3295454545454544,328
hard,5,3,-4,STAND,-0.272373540856031,549
hard,5,3,-3,STAND,-0.28781512605042026,965
hard,5,3,-2,STAND,-0.24239007891769956,1790
hard,5,3,-1,HIT,-0.11856677524429943,3138
hard,5,3,0,HIT,-0.09735058533579795,5183
hard,5,3,1,HIT,-0.09089373204933261,5992
hard,5,3,2,HIT,-0.09662248824283885,2974
hard,5,3,3,HIT,-0.04336569579288026,1561
hard,5,3,4,HIT,-0.010025062656641586,819
hard,5,3,5,STAND,-0.24899598393574274,541
hard,5,3,6,STAND,-0.1637010676156584,577
hard,5,4,-6,HIT,-0.07605633802816902,493
hard,5,4,-5,STAND,-0.2791327913279133,376
hard,5,4,-4,STAND,-0.2292020373514431,601
hard,5,4,-3,HIT,-0.10563380281690148,1012
hard,5,4,-2,HIT,-0.10758706467661679,1642
hard,5,4,-1,HIT,-0.07527286413248015,2991
hard,5,4,0,HIT,-0.07605304212168508,5240
hard,5,4,1,HIT,-0.059108365336450315,6054
hard,5,4,2,HIT,-0.07041714504401056,2798
hard,5,4,3,STAND,-0.13876221498371352,1558
hard,5,4,4,HIT,-0.09595375722543349,895
hard,5,4,5,STAND,-0.12500000000000006,483
hard,5,4,6,HIT,-0.04494382022471908,650
hard,5,5,-6,HIT,-0.1150442477876106,469
hard,5,5,-5,HIT,-0.16893732970027248,370
hard,5,5,-4,STAND,-0.3064798598949212,580
hard,5,5,-3,STAND,-0.14031620553359678,1040
hard,5,5,-2,STAND,-0.16738727609635556,1663
hard,5,5,-1,HIT,-0.02692595362752432,2860
hard,5,5,0,HIT,-0.018494055482166535,5372
hard,5,5,1,HIT,-0.01775766016713094,5842
hard,5,5,2,STAND,-0.13197586726998492,2868
hard,5,5,3,HIT,0.0184010152284264,1628
hard,5,5,4,STAND,-0.0907003444316878,893
hard,5,5,5,HIT,-0.05138339920948619,524
hard,5,5,6,STAND,-0.1002949852507374,686
hard,5,6,-6,HIT,-0.09350649350649348,486
hard,5,6,-5,HIT,-0.028328611898017008,370
hard,5,6,-4,HIT,-0.08641975308641983,576
hard,5,6,-3,STAND,-0.14897760467380725,1036
hard,5,6,-2,HIT,-0.020766773162939314,1650
hard,5,6,-1,HIT,-0.0052065255119750214,3067
hard,5,6,0,HIT,0.009426551453260032,5672
hard,5,6,1,HIT,0.007496740547587989,6275
hard,5,6,2,HIT,-0.03046901745977406,2966
hard,5,6,3,HIT,0.006363636363636403,1656
hard,5,6,4,HIT,0.05188679245283017,876
hard,5,6,5,DOUBLE,-0.1984126984126985,509
hard,5,6,6,STAND,-0.031111111111111058,688
hard,5,7,-6,HIT,-0.24183006535947724,480
hard,5,7,-5,HIT,0.005865102639296228,360
hard,5,7,-4,STAND,-0.4249605055292256,657
