hand_kind,hand_value,dealer_upcard,true_count_bucket,best_action,best_action_value,visits
hard,5,2,-6,HIT,-0.14016891011460494,0
hard,5,2,-5,HIT,-0.19604217421238562,0
hard,5,2,-4,HIT,-0.1684921074547034,0
hard,5,2,-3,HIT,-0.16931305656322276,0
hard,5,2,-2,HIT,-0.16278632313416191,0
hard,5,2,-1,HIT,-0.10197230795514305,0
hard,5,2,0,HIT,-0.1147934340158151,0
hard,5,2,1,HIT,-0.16776213066573567,0
hard,5,2,2,HIT,-0.1756357581897899,0
hard,5,2,3,HIT,-0.0798152544440539,0
hard,5,2,4,HIT,-0.1285363499124468,0
hard,5,2,5,HIT,-0.1175359531290458,0
hard,5,2,6,HIT,-0.08691271953758277,0
hard,5,3,-6,HIT,-0.17242392822116373,0
hard,5,3,-5,HIT,-0.12627951309166466,0
hard,5,3,-4,HIT,-0.16071177910039094,0
hard,5,3,-3,HIT,-0.16450058028503892,0
hard,5,3,-2,HIT,-0.17138355537810895,0
hard,5,3,-1,HIT,-0.11825603404407997,0
hard,5,3,0,HIT,-0.15051238558384666,0
hard,5,3,1,HIT,-0.11365516104078702,0
hard,5,3,2,HIT,-0.19810284849305745,0
hard,5,3,3,HIT,-0.11573855130623754,0
hard,5,3,4,HIT,-0.08585868717918617,0
hard,5,3,5,HIT,-0.05539190514538367,0
hard,5,3,6,HIT,-0.017104497797774558,0
hard,5,4,-6,HIT,-0.1683019393498508,0
hard,5,4,-5,HIT,-0.1397204459935918,0
hard,5,4,-4,HIT,-0.18685516273364874,0
hard,5,4,-3,HIT,-0.0931998998612085,0
hard,5,4,-2,HIT,-0.10037646709866588,0
hard,5,4,-1,HIT,-0.08592831149536359,0
hard,5,4,0,HIT,-0.04273189907396055,0
hard,5,4,1,HIT,-0.12413365873859485,0
hard,5,4,2,HIT,-0.14089977840019635,0
hard,5,4,3,HIT,0.013268596182108839,0
hard,5,4,4,HIT,0.014840767957477345,0
hard,5,4,5,HIT,-0.018115742249682543,0
hard,5,4,6,HIT,0.041942802075353836,0
hard,5,5,-6,HIT,-0.10424334089916613,0
hard,5,5,-5,HIT,-0.10903929073221684,0
hard,5,5,-4,HIT,-0.04433252019999778,0
hard,5,5,-3,HIT,-0.034675201269175886,0
hard,5,5,-2,HIT,-0.04570311210442203,0
hard,5,5,-1,HIT,-0.08439732051188714,0
hard,5,5,0,HIT,0.018455265077144435,0
hard,5,5,1,HIT,-0.0033315983991204245,0
hard,5,5,2,HIT,-0.10792838465067464,0
hard,5,5,3,HIT,0.007592770905435314,0
hard,5,5,4,HIT,-0.029037479357941178,0
hard,5,5,5,HIT,-0.0004625535011110356,0
hard,5,5,6,HIT,0.02213865991548241,0
hard,5,6,-6,HIT,-0.09193128534465889,0
hard,5,6,-5,HIT,-0.05839323211826414,0
hard,5,6,-4,HIT,-0.04290587204812026,0
hard,5,6,-3,HIT,-0.06102541718379037,0
hard,5,6,-2,HIT,-0.08081630126253668,0
hard,5,6,-1,HIT,-0.06912672266863963,0
hard,5,6,0,HIT,-0.07621438343329354,0
hard,5,6,1,HIT,-0.11802101406611451,0
hard,5,6,2,HIT,-0.008670778975264365,0
hard,5,6,3,HIT,-0.061974029001441513,0
hard,5,6,4,HIT,0.07027938742145476,0
hard,5,6,5,HIT,0.03835202624469987,0
hard,5,6,6,HIT,0.08125204321588186,0
hard,5,7,-6,HIT,-0.0692551902584565,0
hard,5,7,-5,HIT,-0.14380639888979474,0
hard,5,7,-4,HIT,-0.037764490518454014,0
hard,5,7,-3,HIT,-0.14476674401414116,0
hard,5,7,-2,HIT,-0.13779007190586293,0
hard,5,7,-1,HIT,-0.09699797486386487,0
hard,5,7,0,HIT,-0.12474691375805588,0
hard,5,7,1,HIT,-0.11156529435317754,0
hard,5,7,2,HIT,-0.26225691523954836,0
hard,5,7,3,HIT,-0.1763180047696666,0
hard,5,7,4,HIT,-0.27578169068750624,0
hard,5,7,5,HIT,-0.21434705532922857,0
hard,5,7,6,STAND,-0.27927176408994436,0
hard,5,8,-6,HIT,-0.14774476227631378,0
hard,5,8,-5,HIT,-0.1396006908560604,0
hard,5,8,-4,HIT,-0.14755497942638696,0
hard,5,8,-3,HIT,-0.1792684340998441,0
hard,5,8,-2,HIT,-0.2421979859099311,0
hard,5,8,-1,HIT,-0.23394072778138664,0
hard,5,8,0,HIT,-0.14344077850289502,0
hard,5,8,1,HIT,-0.22879161326991232,0
hard,5,8,2,HIT,-0.20873817596740976,0
hard,5,8,3,HIT,-0.17640708568892538,0
hard,5,8,4,HIT,-0.2716392692796793,0
hard,5,8,5,STAND,-0.23158752088447013,0
hard,5,8,6,HIT,-0.34446513881610885,0
hard,5,9,-6,HIT,-0.18524247868768148,0
hard,5,9,-5,HIT,-0.21096567771035754,0
hard,5,9,-4,HIT,-0.238388485381871,0
hard,5,9,-3,HIT,-0.30257286306744485,0
hard,5,9,-2,HIT,-0.2729956886638864,0
hard,5,9,-1,HIT,-0.2843589049995171,0
hard,5,9,0,HIT,-0.15843098607340705,0
hard,5,9,1,HIT,-0.3208394053081815,0
hard,5,9,2,HIT,-0.24656696809567438,0
hard,5,9,3,HIT,-0.2810299854842294,0
hard,5,9,4,HIT,-0.2689165902194938,0
hard,5,9,5,HIT,-0.2664743453347126,0
hard,5,9,6,HIT,-0.3682889065729328,0
hard,5,10,-6,HIT,-0.28557345401740475,0
hard,5,10,-5,HIT,-0.19614599744491146,0
hard,5,10,-4,HIT,-0.3705278214288957,0
hard,5,10,-3,HIT,-0.31834378348238834,0
hard,5,10,-2,HIT,-0.2716055976893994,0
hard,5,10,-1,HIT,-0.34676652704227845,0
hard,5,10,0,HIT,-0.3302158830366895,0
hard,5,10,1,HIT,-0.27525357651434607,0
hard,5,10,2,HIT,-0.3319431414880669,0
hard,5,10,3,HIT,-0.3834495826243087,0
hard,5,10,4,HIT,-0.3722658677507474,0
hard,5,10,5,HIT,-0.37285868999616784,0
hard,5,10,6,HIT,-0.39093223476803174,0
hard,5,11,-6,HIT,-0.3055485875112247,0
hard,5,11,-5,HIT,-0.3229088183898707,0
hard,5,11,-4,HIT,-0.26301332018994733,0
hard,5,11,-3,HIT,-0.30475760508883615,0
hard,5,11,-2,HIT,-0.3384084023959191,0
hard,5,11,-1,HIT,-0.22871499119360947,0
hard,5,11,0,HIT,-0.350451181196076,0
hard,5,11,1,HIT,-0.3435589557037534,0
hard,5,11,2,HIT,-0.37427410875504435,0
hard,5,11,3,HIT,-0.35017121687347014,0
hard,5,11,4,HIT,-0.30320461059848847,0
