hand_kind,hand_value,dealer_upcard,true_count_bucket,best_action,best_action_value,visits
hard,5,2,-6,STAND,-0.2,7
hard,5,2,-5,STAND,0.3333333333333333,3
hard,5,2,-4,STAND,0.27272727272727276,11
hard,5,2,-3,STAND,-0.3999999999999999,22
hard,5,2,-2,STAND,-0.3939393939393939,35
hard,5,2,-1,HIT,-0.282051282051282,49
hard,5,2,0,STAND,-0.19999999999999998,95
hard,5,2,1,STAND,-0.4141414141414142,102
hard,5,2,2,HIT,-0.10526315789473685,40
hard,5,2,3,STAND,-0.3846153846153846,28
hard,5,2,4,DOUBLE,0.0,15
hard,5,2,5,STAND,-0.3333333333333333,5
hard,5,2,6,DOUBLE,0.4,7
hard,5,3,-6,DOUBLE,2.0,5
hard,5,3,-5,DOUBLE,0.0,2
hard,5,3,-4,STAND,-0.5,13
hard,5,3,-3,DOUBLE,0.0,13
hard,5,3,-2,STAND,-0.6153846153846153,28
hard,5,3,-1,HIT,-0.01960784313725487,53
hard,5,3,0,STAND,-0.24390243902439024,89
hard,5,3,1,DOUBLE,-0.3137254901960785,104
hard,5,3,2,DOUBLE,-0.1176470588235293,33
hard,5,3,3,DOUBLE,0.8235294117647058,21
hard,5,3,4,HIT,-0.19999999999999998,14
hard,5,3,5,STAND,1.0,3
hard,5,3,6,STAND,-0.19999999999999998,15
hard,5,4,-6,STAND,-1.0,6
hard,5,4,-5,HIT,0.0,4
hard,5,4,-4,STAND,-1.0,6
hard,5,4,-3,DOUBLE,0.5,24
hard,5,4,-2,HIT,-0.1666666666666667,28
hard,5,4,-1,HIT,-0.186046511627907,48
hard,5,4,0,STAND,-0.2345679012345679,86
hard,5,4,1,STAND,-0.2790697674418605,91
hard,5,4,2,HIT,-0.07407407407407404,60
hard,5,4,3,STAND,-0.11111111111111113,29
hard,5,4,4,STAND,-0.12500000000000006,18
hard,5,4,5,DOUBLE,0.0,4
hard,5,4,6,DOUBLE,0.0,8
hard,5,5,-6,HIT,-0.16666666666666666,8
hard,5,5,-5,STAND,0.0,2
hard,5,5,-4,STAND,0.0,7
hard,5,5,-3,HIT,0.0,18
hard,5,5,-2,HIT,-0.20588235294117646,39
hard,5,5,-1,HIT,0.1351351351351352,50
hard,5,5,0,HIT,0.10638297872340438,103
hard,5,5,1,STAND,-0.03092783505154635,103
hard,5,5,2,HIT,0.13513513513513514,42
hard,5,5,3,HIT,-0.21052631578947367,23
hard,5,5,4,STAND,0.4,14
hard,5,5,5,STAND,-0.6,7
hard,5,5,6,STAND,-0.2,11
hard,5,6,-6,DOUBLE,2.0,3
hard,5,6,-5,HIT,0.0,3
hard,5,6,-4,STAND,-0.33333333333333337,8
hard,5,6,-3,HIT,0.22727272727272727,23
hard,5,6,-2,HIT,-0.07692307692307693,28
hard,5,6,-1,STAND,-0.19148936170212766,49
hard,5,6,0,HIT,0.011235955056179763,95
hard,5,6,1,HIT,-0.13636363636363635,94
hard,5,6,2,STAND,-0.0344827586206896,33
hard,5,6,3,DOUBLE,0.4,25
hard,5,6,4,STAND,0.14285714285714285,14
hard,5,6,5,HIT,0.33333333333333337,6
hard,5,6,6,DOUBLE,0.6666666666666667,8
hard,5,7,-6,DOUBLE,-0.5,10
hard,5,7,-5,STAND,-1.0,3
hard,5,7,-4,DOUBLE,0.6666666666666666,7
hard,5,7,-3,STAND,-0.7333333333333334,20
hard,5,7,-2,STAND,-0.6296296296296297,29
hard,5,7,-1,STAND,-0.5,46
hard,5,7,0,STAND,-0.48979591836734704,121
hard,5,7,1,HIT,-0.4,86
hard,5,7,2,STAND,-0.55,42
hard,5,7,3,STAND,-0.84,28
hard,5,7,4,HIT,-0.2222222222222222,11
hard,5,7,5,HIT,-0.11111111111111113,11
hard,5,7,6,HIT,-0.33333333333333337,11
hard,5,8,-6,STAND,-0.5,6
hard,5,8,-5,DOUBLE,0.0,4
hard,5,8,-4,STAND,-1.0,5
hard,5,8,-3,STAND,-0.49999999999999994,14
hard,5,8,-2,STAND,-0.65,42
hard,5,8,-1,STAND,-0.4385964912280701,59
hard,5,8,0,HIT,-0.24031007751937986,132
hard,5,8,1,STAND,-0.6000000000000001,68
hard,5,8,2,STAND,-0.5121951219512194,43
hard,5,8,3,HIT,0.27272727272727276,24
hard,5,8,4,STAND,-0.7333333333333332,17
hard,5,8,5,DOUBLE,0.0,8
hard,5,8,6,STAND,-0.4,12
hard,5,9,-6,STAND,-0.7142857142857143,9
hard,5,9,-5,HIT,0.0,3
hard,5,9,-4,STAND,-0.2,10
hard,5,9,-3,HIT,-0.368421052631579,21
hard,5,9,-2,HIT,-0.35000000000000003,43
hard,5,9,-1,STAND,-0.37499999999999994,50
hard,5,9,0,HIT,-0.35779816513761475,113
hard,5,9,1,STAND,-0.4146341463414635,84
hard,5,9,2,STAND,-0.35294117647058826,41
hard,5,9,3,HIT,-0.5238095238095237,23
hard,5,9,4,HIT,-0.4166666666666667,14
hard,5,9,5,STAND,0.33333333333333337,3
hard,5,9,6,STAND,-0.8571428571428571,16
hard,5,10,-6,STAND,-0.24999999999999994,34
hard,5,10,-5,STAND,-0.4166666666666667,26
hard,5,10,-4,STAND,-0.5000000000000001,42
hard,5,10,-3,STAND,-0.5955056179775281,91
hard,5,10,-2,STAND,-0.4848484848484847,141
hard,5,10,-1,STAND,-0.5503875968992248,261
hard,5,10,0,STAND,-0.4271099744245524,400
hard,5,10,1,STAND,-0.6186770428015571,265
hard,5,10,2,STAND,-0.6144578313253007,172
hard,5,10,3,STAND,-0.5254237288135594,68
hard,5,10,4,HIT,-0.4736842105263159,43
hard,5,10,5,DOUBLE,-0.736842105263158,21
hard,5,10,6,HIT,-0.6451612903225805,36
hard,5,11,-6,STAND,-0.5,6
hard,5,11,-5,STAND,-1.0,3
hard,5,11,-4,STAND,-0.75,10
hard,5,11,-3,HIT,-0.3846153846153846,15
hard,5,11,-2,STAND,-0.5714285714285714,30
hard,5,11,-1,STAND,-0.6363636363636365,50
hard,5,11,0,STAND,-0.6551724137931032,89
hard,5,11,1,STAND,-0.5769230769230771,55
hard,5,11,2,STAND,-0.5999999999999999,22
hard,5,11,3,STAND,-1.0,13
hard,5,11,4,STAND,-0.3333333333333333,11
hard,5,11,5,DOUBLE,0.0,2
hard,5,11,6,STAND,-0.14285714285714285,9
hard,6,2,-6,DOUBLE,2.0,4
hard,6,2,-5,STAND,-1.0,4
hard,6,2,-4,STAND,-1.0,6
hard,6,2,-3,STAND,-1.3877787807814457e-17,16
hard,6,2,-2,STAND,0.13043478260869565,25
hard,6,2,-1,DOUBLE,2.0816681711721685e-17,43
hard,6,2,0,HIT,-0.13414634146341461,88
hard,6,2,1,DOUBLE,-0.3908045977011494,94
hard,6,2,2,HIT,-0.06521739130434784,48
hard,6,2,3,HIT,-0.25,14
hard,6,2,4,HIT,-0.0909090909090909,17
hard,6,2,5,STAND,-0.5,10
hard,6,2,6,STAND,0.05882352941176469,19
hard,6,3,-6,STAND,-2.7755575615628914e-17,8
hard,6,3,-5,DOUBLE,0.0,2
hard,6,3,-4,HIT,0.2,8
hard,6,3,-3,STAND,-0.19999999999999998,12
hard,6,3,-2,STAND,-0.31250000000000006,34
hard,6,3,-1,STAND,-0.17948717948717954,54
hard,6,3,0,STAND,-0.23636363636363628,112
hard,6,3,1,STAND,-0.1951219512195122,86
hard,6,3,2,HIT,-0.06060606060606061,46
hard,6,3,3,STAND,-0.08571428571428572,37
hard,6,3,4,HIT,-0.16666666666666669,14
hard,6,3,5,DOUBLE,0.6666666666666666,8
hard,6,3,6,DOUBLE,-2.7755575615628914e-17,12
hard,6,4,-6,STAND,-0.2,9
hard,6,4,-5,HIT,0.0,5
hard,6,4,-4,STAND,0.14285714285714288,9
hard,6,4,-3,DOUBLE,-0.4705882352941176,19
hard,6,4,-2,STAND,-0.13333333333333336,32
hard,6,4,-1,STAND,-0.33333333333333337,59
hard,6,4,0,STAND,-0.349397590361446,85
hard,6,4,1,STAND,-0.16279069767441856,88
hard,6,4,2,DOUBLE,0.07142857142857142,35
hard,6,4,3,HIT,0.5,31
hard,6,4,4,STAND,0.2857142857142857,17
hard,6,4,5,HIT,-0.2857142857142857,9
hard,6,4,6,STAND,0.23076923076923078,13
hard,6,5,-6,STAND,-0.6,7
hard,6,5,-5,DOUBLE,0.28571428571428575,11
hard,6,5,-4,STAND,-0.5,6
hard,6,5,-3,STAND,2.7755575615628914e-17,14
hard,6,5,-2,STAND,-0.24999999999999994,42
hard,6,5,-1,STAND,-0.09090909090909091,48
hard,6,5,0,HIT,0.057471264367816105,91
hard,6,5,1,HIT,-0.08333333333333331,100
hard,6,5,2,HIT,0.25,34
hard,6,5,3,STAND,-0.14285714285714285,16
hard,6,5,4,STAND,-1.0,10
hard,6,5,5,STAND,0.19999999999999996,13
hard,6,5,6,STAND,0.07692307692307693,15
hard,6,6,-6,DOUBLE,0.5,9
hard,6,6,-5,STAND,-1.0,3
hard,6,6,-4,DOUBLE,1.2,11
hard,6,6,-3,HIT,-0.4,17
hard,6,6,-2,HIT,-0.06451612903225806,33
hard,6,6,-1,STAND,-0.2571428571428571,40
hard,6,6,0,DOUBLE,-0.6233766233766235,79
hard,6,6,1,STAND,-0.11764705882352942,108
hard,6,6,2,DOUBLE,0.17391304347826084,50
hard,6,6,3,HIT,-0.13043478260869568,28
hard,6,6,4,HIT,0.2,18
hard,6,6,5,HIT,0.25,10
hard,6,6,6,HIT,0.6153846153846154,14
hard,6,7,-6,DOUBLE,0.2857142857142857,11
hard,6,7,-5,STAND,-1.0,3
hard,6,7,-4,STAND,-0.3333333333333333,11
hard,6,7,-3,STAND,-0.43999999999999995,27
hard,6,7,-2,STAND,-0.7999999999999999,25
hard,6,7,-1,HIT,-0.35593220338983045,64
hard,6,7,0,STAND,-0.6046511627906976,91
hard,6,7,1,STAND,-0.4146341463414635,84
hard,6,7,2,STAND,-0.4499999999999999,42
hard,6,7,3,STAND,-0.44,27
hard,6,7,4,STAND,-0.5,18
hard,6,7,5,HIT,0.0,5
hard,6,7,6,STAND,-0.4545454545454546,13
hard,6,8,-6,STAND,0.14285714285714288,9
hard,6,8,-5,STAND,-1.0,4
hard,6,8,-4,DOUBLE,0.0,14
hard,6,8,-3,STAND,-0.11111111111111108,19
hard,6,8,-2,HIT,-0.5882352941176472,36
hard,6,8,-1,STAND,-0.6000000000000001,58
hard,6,8,0,HIT,-0.2727272727272726,103
hard,6,8,1,HIT,-0.4095238095238096,108
hard,6,8,2,STAND,-0.3846153846153846,51
hard,6,8,3,STAND,-0.6,25
hard,6,8,4,HIT,-0.625,15
hard,6,8,5,STAND,1.0,2
hard,6,8,6,STAND,-0.5,13
hard,6,9,-6,STAND,-0.33333333333333337,5
hard,6,9,-5,STAND,-1.0,3
hard,6,9,-4,DOUBLE,0.0,10
hard,6,9,-3,DOUBLE,-0.3333333333333333,14
hard,6,9,-2,HIT,-0.29032258064516125,37
hard,6,9,-1,STAND,-0.4117647058823529,60
hard,6,9,0,STAND,-0.7368421052631576,116
hard,6,9,1,STAND,-0.26315789473684204,76
hard,6,9,2,STAND,-0.75,29
hard,6,9,3,HIT,-0.3478260869565218,28
hard,6,9,4,STAND,-0.4545454545454546,13
hard,6,9,5,STAND,-0.5555555555555556,12
hard,6,9,6,STAND,-0.2,10
hard,6,10,-6,HIT,-0.21428571428571427,34
hard,6,10,-5,STAND,-0.4166666666666667,28
hard,6,10,-4,STAND,-0.5111111111111111,47
hard,6,10,-3,STAND,-0.5862068965517243,89
hard,6,10,-2,STAND,-0.44516129032258067,162
hard,6,10,-1,STAND,-0.48214285714285704,227
hard,6,10,0,STAND,-0.5115681233933163,395
hard,6,10,1,HIT,-0.42307692307692296,297
hard,6,10,2,STAND,-0.5870967741935483,161
hard,6,10,3,STAND,-0.5999999999999999,78
hard,6,10,4,HIT,-0.47058823529411764,38
hard,6,10,5,STAND,-0.5,19
hard,6,10,6,STAND,-0.6470588235294119,35
hard,6,11,-6,STAND,-0.5555555555555556,11
hard,6,11,-5,STAND,-1.0,6
hard,6,11,-4,STAND,-0.42857142857142855,9
hard,6,11,-3,DOUBLE,-0.6666666666666667,14
hard,6,11,-2,HIT,-0.16666666666666666,33
hard,6,11,-1,STAND,-0.3571428571428571,36
hard,6,11,0,STAND,-0.46874999999999994,81
hard,6,11,1,STAND,-0.5714285714285715,58
hard,6,11,2,HIT,-0.5769230769230769,40
hard,6,11,3,STAND,-0.8461538461538461,15
hard,6,11,4,STAND,-0.6,7
hard,6,11,5,HIT,0.0,6
hard,6,11,6,STAND,-0.6,12
hard,7,2,-6,DOUBLE,0.6666666666666666,11
hard,7,2,-5,STAND,-0.3333333333333333,5
hard,7,2,-4,STAND,-0.14285714285714288,16
hard,7,2,-3,STAND,-0.33333333333333337,37
hard,7,2,-2,DOUBLE,0.2162162162162163,48
hard,7,2,-1,STAND,-0.5789473684210525,97
hard,7,2,0,HIT,-0.07821229050279328,190
hard,7,2,1,STAND,-0.38461538461538464,211
hard,7,2,2,HIT,-0.1282051282051282,93
hard,7,2,3,STAND,0.0,45
hard,7,2,4,HIT,0.050000000000000024,21
hard,7,2,5,DOUBLE,0.6666666666666667,12
hard,7,2,6,HIT,0.17647058823529407,18
hard,7,3,-6,HIT,-0.3846153846153846,15
hard,7,3,-5,HIT,-0.2222222222222222,11
hard,7,3,-4,STAND,-0.3684210526315789,21
hard,7,3,-3,HIT,-0.13888888888888895,43
hard,7,3,-2,HIT,-0.25,59
hard,7,3,-1,STAND,-0.24324324324324317,113
hard,7,3,0,STAND,-0.11940298507462686,177
hard,7,3,1,DOUBLE,-0.38190954773869334,202
hard,7,3,2,HIT,-0.20000000000000004,102
hard,7,3,3,STAND,-0.10638297872340424,57
hard,7,3,4,STAND,-0.3333333333333333,35
hard,7,3,5,STAND,-0.2,15
hard,7,3,6,HIT,0.0769230769230769,15
hard,7,4,-6,STAND,-0.6000000000000001,12
hard,7,4,-5,STAND,-0.75,10
hard,7,4,-4,HIT,0.19230769230769232,28
hard,7,4,-3,STAND,-0.6000000000000001,29
hard,7,4,-2,DOUBLE,-0.07692307692307694,56
hard,7,4,-1,HIT,-0.061855670103092786,101
hard,7,4,0,STAND,-0.3028571428571427,185
hard,7,4,1,DOUBLE,-0.3141361256544503,194
hard,7,4,2,STAND,-0.2098765432098765,102
hard,7,4,3,DOUBLE,0.6923076923076923,45
hard,7,4,4,STAND,-0.030303030303030304,39
hard,7,4,5,HIT,-0.2608695652173913,27
hard,7,4,6,HIT,0.2,25
hard,7,5,-6,DOUBLE,-0.39999999999999997,13
hard,7,5,-5,STAND,2.7755575615628914e-17,6
hard,7,5,-4,HIT,-0.3076923076923077,21
hard,7,5,-3,HIT,-0.3793103448275862,34
hard,7,5,-2,STAND,-0.44827586206896547,63
hard,7,5,-1,STAND,-0.13513513513513511,118
hard,7,5,0,HIT,-0.016129032258064516,189
hard,7,5,1,STAND,-0.10160427807486629,197
hard,7,5,2,HIT,-0.0684931506849315,94
hard,7,5,3,STAND,0.11475409836065574,63
hard,7,5,4,HIT,-0.13333333333333333,32
hard,7,5,5,STAND,-0.4117647058823529,19
hard,7,5,6,DOUBLE,1.2857142857142856,18
hard,7,6,-6,HIT,-0.2,20
hard,7,6,-5,DOUBLE,5.551115123125783e-17,8
hard,7,6,-4,STAND,-0.375,18
hard,7,6,-3,STAND,0.25,32
hard,7,6,-2,HIT,-0.10810810810810813,79
hard,7,6,-1,HIT,0.12499999999999999,99
hard,7,6,0,HIT,-0.035502958579881644,174
hard,7,6,1,HIT,-0.03896103896103894,214
hard,7,6,2,DOUBLE,-0.2075471698113207,113
hard,7,6,3,STAND,-0.09090909090909093,54
hard,7,6,4,DOUBLE,0.23529411764705882,19
hard,7,6,5,DOUBLE,-8.326672684688674e-17,12
hard,7,6,6,DOUBLE,0.7368421052631579,23
hard,7,7,-6,STAND,-1.0,13
hard,7,7,-5,HIT,-0.2,17
hard,7,7,-4,HIT,-0.33333333333333337,14
hard,7,7,-3,STAND,-0.5,25
hard,7,7,-2,STAND,-0.6451612903225804,73
hard,7,7,-1,STAND,-0.47572815533980584,114
hard,7,7,0,HIT,-0.08154506437768233,236
hard,7,7,1,STAND,-0.47619047619047644,171
hard,7,7,2,STAND,-0.29411764705882376,71
hard,7,7,3,HIT,-0.47916666666666663,54
hard,7,7,4,STAND,-0.6666666666666667,20
hard,7,7,5,STAND,-0.5,13
hard,7,7,6,HIT,-0.23529411764705882,22
hard,7,8,-6,STAND,-0.6666666666666666,26
hard,7,8,-5,DOUBLE,5.551115123125783e-17,13
hard,7,8,-4,HIT,-0.3181818181818182,24
hard,7,8,-3,HIT,-0.1666666666666667,39
hard,7,8,-2,HIT,-0.05084745762711865,61
hard,7,8,-1,HIT,-0.4912280701754387,119
hard,7,8,0,STAND,-0.47826086956521763,186
hard,7,8,1,STAND,-0.19402985074626863,140
hard,7,8,2,STAND,-0.5421686746987955,85
hard,7,8,3,STAND,-0.5909090909090909,47
hard,7,8,4,STAND,-0.6428571428571429,31
hard,7,8,5,STAND,-0.6,12
hard,7,8,6,STAND,-0.41176470588235287,19
hard,7,9,-6,DOUBLE,-0.5333333333333333,17
hard,7,9,-5,HIT,-0.2222222222222222,11
hard,7,9,-4,HIT,2.7755575615628914e-17,20
