hand_kind,hand_value,dealer_upcard,true_count_bucket,best_action,best_action_value,visits
hard,5,2,-6,HIT,-0.005628874815075897,0
hard,5,2,-5,HIT,-0.0005043736179658071,0
hard,5,2,-4,HIT,-0.006733748969945634,0
hard,5,2,-3,HIT,-0.03865146636420553,0
hard,5,2,-2,HIT,-0.019995526144620617,0
hard,5,2,-1,HIT,-0.12623968964614618,0
hard,5,2,0,HIT,-0.056506438568645304,0
hard,5,2,1,HIT,-0.0870572367933357,0
hard,5,2,2,HIT,-0.10287513122219585,0
hard,5,2,3,DOUBLE,0.1331887867667797,0
hard,5,2,4,HIT,-0.034369240555825596,0
hard,5,2,5,HIT,-0.006553282049556949,0
hard,5,2,6,HIT,-0.036720252652748434,0
hard,5,3,-6,HIT,-0.0013424205272531441,0
hard,5,3,-5,HIT,0.0008550179567004397,0
hard,5,3,-4,HIT,0.005982072085923582,0
hard,5,3,-3,STAND,-0.09975625,0
hard,5,3,-2,HIT,0.02108817569410172,0
hard,5,3,-1,HIT,-0.06685591285775094,0
hard,5,3,0,HIT,-0.1141102283947772,0
hard,5,3,1,HIT,-0.11229817425501194,0
hard,5,3,2,HIT,-0.05751744537926942,0
hard,5,3,3,HIT,-0.043418643256456765,0
hard,5,3,4,HIT,-0.009068860095295799,0
hard,5,3,5,HIT,0.022354412925155328,0
hard,5,3,6,DOUBLE,-0.009512500000000007,0
hard,5,4,-6,HIT,-0.06188702939566655,0
hard,5,4,-5,DOUBLE,0.06243812500000001,0
hard,5,4,-4,HIT,-0.0395677049725167,0
hard,5,4,-3,HIT,-0.04495443618490901,0
hard,5,4,-2,HIT,-0.05176018508213233,0
hard,5,4,-1,STAND,-0.11012747396083986,0
hard,5,4,0,HIT,-0.11885639991430277,0
hard,5,4,1,HIT,-0.09390772652162988,0
hard,5,4,2,HIT,-0.04336562781165305,0
hard,5,4,3,HIT,-0.00562918912460654,0
hard,5,4,4,HIT,-0.002895364319284081,0
hard,5,4,5,HIT,-0.0013359741529733458,0
hard,5,4,6,HIT,-0.009402744500004764,0
hard,5,5,-6,STAND,0.079170609375,0
hard,5,5,-5,STAND,0.05,0
hard,5,5,-4,HIT,-0.007394873350581055,0
hard,5,5,-3,HIT,-0.03149554142351505,0
hard,5,5,-2,STAND,-0.05023156250000001,0
hard,5,5,-1,HIT,-0.12112056411861452,0
hard,5,5,0,HIT,-0.10561098610607628,0
hard,5,5,1,HIT,-0.019564604081339396,0
hard,5,5,2,HIT,-0.03922591187145507,0
hard,5,5,3,HIT,0.10634830301945963,0
hard,5,5,4,HIT,0.006607391274166026,0
hard,5,5,5,HIT,0.023040641605936607,0
hard,5,5,6,STAND,-0.0025000000000000022,0
hard,5,6,-6,HIT,0.0030080329314974164,0
hard,5,6,-5,DOUBLE,0.08525,0
hard,5,6,-4,HIT,-0.022809410090071598,0
hard,5,6,-3,DOUBLE,0.1995125,0
hard,5,6,-2,HIT,-0.002510812986710593,0
hard,5,6,-1,HIT,0.009804567384302219,0
hard,5,6,0,HIT,0.018396020731268625,0
hard,5,6,1,HIT,-0.04152536761721898,0
hard,5,6,2,HIT,0.05680782328751768,0
hard,5,6,3,HIT,-0.01579692470934036,0
hard,5,6,4,HIT,0.021287047841484687,0
hard,5,6,5,DOUBLE,-0.0050000000000000044,0
hard,5,6,6,HIT,-0.010232656114743697,0
hard,5,7,-6,HIT,-0.03787066628004217,0
hard,5,7,-5,HIT,-0.012780874960705055,0
hard,5,7,-4,HIT,-0.0294177171563136,0
hard,5,7,-3,HIT,-0.056316999121154294,0
hard,5,7,-2,HIT,-0.07277718272998315,0
hard,5,7,-1,HIT,-0.14854410325821132,0
hard,5,7,0,HIT,-0.2082739353120258,0
hard,5,7,1,HIT,-0.10790267088932533,0
hard,5,7,2,HIT,-0.1312630257307117,0
hard,5,7,3,HIT,-0.088248520779775,0
hard,5,7,4,HIT,-0.03227065327122438,0
hard,5,7,5,HIT,-0.016894098255479245,0
hard,5,7,6,HIT,-0.023165245770846773,0
hard,5,8,-6,HIT,-0.0072949904089233755,0
hard,5,8,-5,HIT,0.0,0
hard,5,8,-4,HIT,-0.05248184896289924,0
hard,5,8,-3,STAND,-0.09975625,0
hard,5,8,-2,HIT,-0.1447857765940493,0
hard,5,8,-1,HIT,-0.21212636320496148,0
hard,5,8,0,HIT,-0.15912647624724685,0
hard,5,8,1,HIT,-0.15560014173620804,0
hard,5,8,2,HIT,-0.16346936280374966,0
hard,5,8,3,HIT,-0.08526855404198369,0
hard,5,8,4,HIT,-0.06556511198661187,0
hard,5,8,5,HIT,-0.03782671174483698,0
hard,5,8,6,STAND,-0.042625,0
hard,5,9,-6,STAND,-0.05,0
hard,5,9,-5,DOUBLE,0.1,0
hard,5,9,-4,HIT,-0.038316672777674025,0
hard,5,9,-3,STAND,-0.0975,0
hard,5,9,-2,HIT,-0.14235211172673085,0
hard,5,9,-1,STAND,-0.19804996527539062,0
hard,5,9,0,HIT,-0.23317905969367958,0
hard,5,9,1,HIT,-0.2913312234254601,0
hard,5,9,2,HIT,-0.18036974314532728,0
hard,5,9,3,DOUBLE,-0.0004875000000000018,0
hard,5,9,4,HIT,-0.08905846079874073,0
hard,5,9,5,HIT,-0.034325268341032035,0
hard,5,9,6,HIT,-0.048632496951526,0
hard,5,10,-6,HIT,-0.17072380607440707,0
hard,5,10,-5,HIT,-0.1095693990422152,0
hard,5,10,-4,HIT,-0.22183373236606801,0
hard,5,10,-3,HIT,-0.31483726349358904,0
hard,5,10,-2,HIT,-0.35304997054747617,0
hard,5,10,-1,HIT,-0.2771294195876837,0
hard,5,10,0,HIT,-0.31474656277138857,0
hard,5,10,1,HIT,-0.26973013474327723,0
hard,5,10,2,HIT,-0.31226659667208706,0
hard,5,10,3,HIT,-0.27934722856446453,0
hard,5,10,4,HIT,-0.24200369838455799,0
hard,5,10,5,HIT,-0.20205879269194651,0
hard,5,10,6,STAND,-0.179170609375,0
hard,5,11,-6,HIT,-0.009515184170255897,0
hard,5,11,-5,HIT,-0.013952163306421723,0
hard,5,11,-4,HIT,-0.042048168809230506,0
hard,5,11,-3,HIT,-0.0724126005763013,0
hard,5,11,-2,HIT,-0.1460382950406994,0
hard,5,11,-1,HIT,-0.2348784979688218,0
